Employee Name,EmpID,Salary,Position,State,Birthdate,Age,Gender,MaritalStatus,CitizenDesc,HireDate,TerminDate,TermReason,EmploymentStatus,Department,ManagerName,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
Christie Harrington,10097,52177,Production Technician I,GE,18.8.57,66,F,Single,Switzerland,1.9.17,15.12.20,retiring,Voluntarily Terminated,Production,Webster Butler,CareerBuilder,Fully Meets,4.64,4,0,5.2.19,0,8
Kara Harrison,10007,62065,Production Technician I,GE,5.2.79,44,F,Married,Switzerland,5.12.19,,N/A-StillEmployed,Active,Production,Amy Dunn,CareerBuilder,Exceeds,4.76,4,0,15.2.23,0,5
Anthony Heitzman,10129,46998,Production Technician I,GE,1.4.89,34,M ,Single,Switzerland,13.8.17,,N/A-StillEmployed,Active,Production,Ketsia Liebig,Google Search,Fully Meets,4.17,4,0,2.11.23,0,1
Trina Hendrickson,10075,68099,Production Technician II,GE,27.8.77,46,F,Single,Switzerland,1.10.16,18.6.18,hours,Voluntarily Terminated,Production,Kelley Spirea,CareerBuilder,Fully Meets,5,3,0,30.1.17,0,15
Alfred Hitchcock,10167,70545,Area Sales Manager,VD,14.9.93,30,M ,Married,Switzerland,18.8.19,,N/A-StillEmployed,Active,Sales,John Smith,Indeed,Fully Meets,3.6,5,0,30.1.23,0,9
Adrienne J Homberger,10195,63478,Production Technician II,GE,16.2.89,34,F,Married,Switzerland,15.8.16,4.7.17,relocation out of area,Voluntarily Terminated,Production,Michael Albert,Indeed,Fully Meets,3.03,5,0,3.5.16,0,16
Jayne Horton,10112,97999,Database Administrator,GE,21.2.89,34,F,Single,Switzerland,30.3.20,,N/A-StillEmployed,Active,IT/IS,Simon Roup,Indeed,Fully Meets,4.48,5,6,1.3.23,0,4
Debra Houlihan,10272,180000,Director of Sales,VD,17.3.71,52,F,Married,Switzerland,5.5.19,,N/A-StillEmployed,Active,Sales,Janet King,LinkedIn,Fully Meets,4.5,4,0,21.1.23,0,19
Estelle Howard,10182,49920,Administrative Assistant,ZH,16.9.90,33,F,Married,Switzerland,16.2.20,15.4.20,"no-call, no-show",Terminated for Cause,Admin Offices,Brandon R. LeBlanc,Indeed,Fully Meets,3.24,3,4,15.4.19,0,6
Jane Hudson,10248,55425,Production Technician I,GE,6.10.91,32,F,Single,Switzerland,20.2.17,,N/A-StillEmployed,Active,Production,Ketsia Liebig,LinkedIn,Fully Meets,4.8,4,0,1.7.23,0,4
Julissa Hunts,10201,69340,Production Technician II,GE,3.11.89,34,F,Single,Switzerland,6.6.21,,N/A-StillEmployed,Active,Production,Elijiah Gray,LinkedIn,Fully Meets,3,5,0,18.1.23,0,4
Rosalie Hutter,10214,64995,Production Technician II,GE,5.7.97,26,F,Separated,Switzerland,6.5.20,,N/A-StillEmployed,Active,Production,Webster Butler,Indeed,Fully Meets,4.5,3,0,14.2.23,0,6
Ming Huynh,10160,68182,Production Technician II,GE,22.9.81,42,F,Divorced,Switzerland,21.2.16,4.1.18,unhappy,Voluntarily Terminated,Production,Amy Dunn,Google Search,Fully Meets,3.72,3,0,2.1.17,0,18
Walter Immediato,10289,83082,Production Manager,GE,15.11.81,42,M ,Married,Switzerland,21.2.16,24.9.17,unhappy,Voluntarily Terminated,Production,Janet King,Indeed,Needs Improvement,2.34,2,0,4.12.16,3,4
Rose Ivey,10139,51908,Production Technician I,GE,28.1.96,27,F,Single,Switzerland,19.8.18,,N/A-StillEmployed,Active,Production,Brannon Miller,Indeed,Fully Meets,3.99,3,0,14.1.23,0,14
Maryellen Jackson,10227,61242,Production Technician I,GE,9.11.77,46,F,Single,Switzerland,11.5.17,,N/A-StillEmployed,Active,Production,David Stanley,LinkedIn,Fully Meets,4.1,3,0,17.1.23,0,7
Hannah Jacobi,10236,45069,Production Technician I,GE,22.3.71,52,F,Divorced,Switzerland,30.9.18,,N/A-StillEmployed,Active,Production,Kissy Sullivan,Employee Referral,Fully Meets,4.3,5,0,22.2.23,0,7
Tayana Jeannite,10009,60724,Production Technician II,GE,11.6.91,32,F,Divorced,Switzerland,7.5.16,,N/A-StillEmployed,Active,Production,Ketsia Liebig,LinkedIn,Exceeds,4.6,4,0,25.2.23,0,11
Sneha Jhaveri,10060,60436,Production Technician I,GE,13.4.69,54,F,Separated,Switzerland,1.6.19,,N/A-StillEmployed,Active,Production,Kelley Spirea,LinkedIn,Fully Meets,5,5,0,21.1.23,0,9
George Johnson,10034,46837,Production Technician I,GE,19.8.64,59,M ,Married,Switzerland,11.7.16,29.4.23,more money,Voluntarily Terminated,Production,Michael Albert,CareerBuilder,Exceeds,4.7,4,0,14.2.22,0,9
Noelle Johnson,10156,105700,Database Administrator,GE,11.7.91,32,F,Married,Switzerland,1.5.20,,N/A-StillEmployed,Active,IT/IS,Simon Roup,Indeed,Fully Meets,3.75,3,5,2.11.23,0,2
Yen Johnston,10036,63322,Production Technician II,GE,9.8.74,49,F,Single,Switzerland,7.7.19,,N/A-StillEmployed,Active,Production,Brannon Miller,LinkedIn,Exceeds,4.3,3,0,1.11.23,0,1
Judy Jung,10138,61154,Production Technician I,GE,17.4.91,32,F,Married,Switzerland,1.10.16,4.1.21,unhappy,Voluntarily Terminated,Production,Elijiah Gray,CareerBuilder,Fully Meets,4,4,0,2.3.20,0,4
Donysha Kampew,10244,68999,Sales Manager,VD,11.11.94,29,F,Single,Switzerland,11.7.16,24.4.19,maternity leave - did not return,Voluntarily Terminated,Sales,Debra Houlihan,Google Search,Fully Meets,4.5,5,0,30.3.17,0,2
Kramer Keatts,10192,50482,Production Technician I,GE,19.1.81,42,M ,Single,Switzerland,30.9.18,,N/A-StillEmployed,Active,Production,Michael Albert,Indeed,Fully Meets,3.07,4,0,23.1.23,0,10
Bartholemew Khemmich,10231,65310,Area Sales Manager,VD,27.11.84,39,M ,Single,Switzerland,19.8.18,,N/A-StillEmployed,Active,Sales,Lynn Daneault,Indeed,Fully Meets,4.3,5,0,22.1.23,0,13
Janet King,10089,250000,President & CEO,BE,21.9.59,64,F,Married,Switzerland,7.2.17,,N/A-StillEmployed,Active,Executive Office,Board of Directors,Indeed,Fully Meets,4.83,3,0,17.1.23,0,10
Kathleen Kinsella,10166,54005,Production Technician I,GE,12.8.78,45,F,Married,Switzerland,26.9.16,6.4.20,more money,Voluntarily Terminated,Production,Webster Butler,Google Search,Fully Meets,3.6,5,0,3.1.19,0,16
Alexandra Kirill,10170,45433,Production Technician I,GE,10.8.75,48,F,Married,Switzerland,26.9.16,1.9.19,more money,Voluntarily Terminated,Production,Amy Dunn,Google Search,Fully Meets,3.49,4,0,30.1.17,0,6
Bradley J Knapp,10208,46654,Production Technician I,GE,11.10.82,41,M ,Single,Switzerland,17.2.19,,N/A-StillEmployed,Active,Production,Ketsia Liebig,LinkedIn,Fully Meets,3.1,3,0,2.6.23,0,3
John Kretschmer,10176,63973,Production Technician I,GE,2.2.85,38,M ,Married,Switzerland,1.10.16,,N/A-StillEmployed,Active,Production,Brannon Miller,Indeed,Fully Meets,3.38,3,0,21.1.23,0,17
Freddy Kreuger,10165,71339,Area Sales Manager,VD,24.2.74,49,M ,Single,Switzerland,3.7.16,,N/A-StillEmployed,Active,Sales,John Smith,Diversity Job Fair,Fully Meets,3.65,5,0,17.1.23,0,20
Jyoti Lajiri,10113,93206,Sr. Network Engineer,GE,23.4.91,32,M ,Married,Switzerland,11.10.19,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,4.46,5,6,1.7.23,0,7
Hans Landa,10092,82758,Production Manager,GE,7.1.77,46,M ,Married,Switzerland,1.10.16,12.12.20,attendance,Terminated for Cause,Production,Janet King,Employee Referral,Fully Meets,4.78,4,0,15.2.19,0,9
Lindsey Langford,10106,66074,Production Technician II,GE,25.7.84,39,F,Divorced,Switzerland,1.7.18,31.3.19,Another position,Voluntarily Terminated,Production,David Stanley,Indeed,Fully Meets,4.52,3,0,20.2.18,0,20
Enrico Langton,10052,46120,Production Technician I,GE,12.9.91,32,M ,Married,Switzerland,7.9.17,,N/A-StillEmployed,Active,Production,David Stanley,LinkedIn,Fully Meets,5,5,0,2.4.23,0,13
William LaRotonda,10038,64520,Accountant I,ZH,26.4.89,34,M ,Divorced,Switzerland,1.6.19,,N/A-StillEmployed,Active,Admin Offices,Brandon R. LeBlanc,Website,Fully Meets,5,4,4,17.1.23,0,3
Mohammed Latif,10249,61962,Production Technician II,GE,5.9.89,34,M ,Married,Switzerland,4.2.17,15.4.18,more money,Voluntarily Terminated,Production,Kissy Sullivan,Google Search,Fully Meets,4.9,3,0,20.2.17,0,20
Binh Le,10232,81584,Senior BI Developer,GE,14.6.92,31,F,Single,Switzerland,10.2.21,,N/A-StillEmployed,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,4.1,5,7,1.8.23,0,2
Dallas Leach,10087,63676,Production Technician I,GE,17.1.84,39,F,Single,Switzerland,26.9.16,19.8.23,return to school,Voluntarily Terminated,Production,Kissy Sullivan,CareerBuilder,Fully Meets,4.88,3,0,7.2.21,0,17
Brandon R LeBlanc,10134,93046,Shared Services Manager,ZH,6.10.89,34,M ,Married,Switzerland,1.5.21,,N/A-StillEmployed,Active,Admin Offices,Janet King,CareerBuilder,Fully Meets,4.1,4,0,28.1.23,0,20
Hannibal Lecter,10251,64738,Production Technician I,GE,9.2.87,36,M ,Married,Switzerland,14.5.17,,N/A-StillEmployed,Active,Production,Elijiah Gray,Google Search,Fully Meets,4.1,3,0,22.2.23,0,10
Giovanni Leruth,10103,70468,Area Sales Manager,VD,27.12.93,30,M ,Separated,Switzerland,30.4.17,,N/A-StillEmployed,Active,Sales,John Smith,Website,Fully Meets,4.53,3,0,29.1.23,0,16
Ketsia Liebig,10017,77915,Production Manager,GE,26.10.86,37,F,Married,Switzerland,30.9.18,,N/A-StillEmployed,Active,Production,Janet King,Website,Exceeds,4.1,3,0,21.1.23,0,11
Marilyn Linares,10186,52624,Production Technician I,GE,26.3.86,37,F,Married,Switzerland,7.5.16,26.9.23,unhappy,Voluntarily Terminated,Production,Michael Albert,Indeed,Fully Meets,3.18,4,0,3.2.22,0,16
Mathew Linden,10137,63450,Production Technician II,GE,19.3.84,39,M ,Married,Switzerland,7.8.18,,N/A-StillEmployed,Active,Production,Kelley Spirea,LinkedIn,Fully Meets,4,3,0,18.2.23,0,7
Leonara Lindsay,10008,51777,IT Support,GE,10.5.93,30,F,Single,Switzerland,21.1.16,,N/A-StillEmployed,Active,IT/IS,Eric Dougall,Diversity Job Fair,Exceeds,4.64,4,5,25.1.23,0,14
Susan Lundy,10096,67237,Production Technician II,GE,26.12.81,42,F,Widowed,Switzerland,7.8.18,15.9.21,more money,Voluntarily Terminated,Production,Michael Albert,LinkedIn,Fully Meets,4.65,4,0,6.10.20,0,15
Lisa Lunquist,10035,73330,Production Technician II,GE,28.3.87,36,F,Single,Switzerland,19.8.18,,N/A-StillEmployed,Active,Production,Elijiah Gray,Indeed,Exceeds,4.2,4,0,2.12.23,0,19
Allison Lydon,10057,52057,Production Technician I,GE,22.10.80,43,F,Married,Switzerland,16.2.20,,N/A-StillEmployed,Active,Production,Elijiah Gray,Website,Fully Meets,5,3,0,23.1.23,0,6
Lindsay Lynch,10004,47434,Production Technician I,GE,14.2.78,45,F,Single,Switzerland,11.7.16,14.11.20,Another position,Voluntarily Terminated,Production,Webster Butler,Diversity Job Fair,Exceeds,5,4,0,2.2.19,0,17
Samuel MacLennan,10191,52788,Production Technician I,GE,11.9.77,46,M ,Widowed,Switzerland,24.9.17,26.9.22,hours,Voluntarily Terminated,Production,Amy Dunn,Indeed,Fully Meets,3.08,4,0,4.1.21,0,18
Lauren Mahoney,10219,45395,Production Technician I,GE,7.7.91,32,F,Single,Switzerland,1.6.19,,N/A-StillEmployed,Active,Production,Ketsia Liebig,LinkedIn,Fully Meets,4.6,4,0,26.2.23,0,14
Robyn Manchester,10077,62385,Production Technician II,GE,25.8.81,42,F,Married,Switzerland,5.11.21,,N/A-StillEmployed,Active,Production,Webster Butler,LinkedIn,Fully Meets,5,3,0,21.1.23,0,4
Karen Mancuso,10073,68407,Production Technician II,GE,12.10.91,32,F,Married,Switzerland,7.5.16,19.8.17,Another position,Voluntarily Terminated,Production,Amy Dunn,LinkedIn,Fully Meets,5,4,0,7.2.16,0,16
Debbie Mangal,10279,61349,Production Technician I,GE,11.7.79,44,F,Married,Switzerland,11.11.18,,N/A-StillEmployed,Active,Production,Brannon Miller,LinkedIn,Fully Meets,4.1,3,0,22.1.23,0,11
Sandra Martin,10110,105688,Software Engineer,BE,11.7.92,31,F,Single,Switzerland,11.11.18,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,Google Search,Fully Meets,4.5,5,4,14.1.23,0,14
Shana Maurice,10053,54132,Production Technician I,GE,22.11.82,41,F,Married,Switzerland,31.5.16,,N/A-StillEmployed,Active,Production,David Stanley,Indeed,Fully Meets,5,4,0,1.10.23,0,8
B'rigit Carthy,10076,55315,Production Technician II,GE,21.5.92,31,F,Single,Switzerland,30.3.20,,N/A-StillEmployed,Active,Production,Ketsia Liebig,LinkedIn,Fully Meets,5,5,0,2.7.23,0,16
Sandy Mckenna,10145,62810,Production Technician I,GE,1.7.92,31,F,Married,Switzerland,1.7.18,,N/A-StillEmployed,Active,Production,Kissy Sullivan,CareerBuilder,Fully Meets,3.93,3,0,30.1.23,0,20
Jac McKinzie,10202,63291,Area Sales Manager,VD,7.1.89,34,M ,Married,Switzerland,7.6.21,,N/A-StillEmployed,Active,Sales,Lynn Daneault,Website,Fully Meets,3.4,4,0,29.1.23,0,7
Elizabeth Meads,10128,62659,Production Technician I,GE,30.5.73,50,F,Single,Switzerland,4.2.17,11.11.21,Another position,Voluntarily Terminated,Production,Kelley Spirea,Diversity Job Fair,Fully Meets,4.18,4,0,2.5.20,0,17
Jennifer Medeiros,10068,55688,Production Technician I,GE,22.9.81,42,F,Single,Switzerland,30.3.20,,N/A-StillEmployed,Active,Production,Michael Albert,CareerBuilder,Fully Meets,5,4,0,21.1.23,0,10
Brannon Miller,10116,83667,Production Manager,GE,8.10.86,37,M ,Single,Switzerland,16.8.17,,N/A-StillEmployed,Active,Production,Janet King,Indeed,Fully Meets,4.37,3,0,14.1.23,0,2
Ned Miller,10298,55800,Production Technician II,GE,29.6.90,33,M ,Single,Switzerland,15.8.16,9.4.19,unhappy,Voluntarily Terminated,Production,Brannon Miller,LinkedIn,PIP,3,2,0,14.1.17,6,6
Erasumus Monkfish,10213,58207,Production Technician II,GE,17.8.97,26,M ,Married,Switzerland,11.7.16,,N/A-StillEmployed,Active,Production,David Stanley,LinkedIn,Fully Meets,3.7,3,0,1.8.23,0,14
Peter Monroe,10288,157000,IT Manager - Infra,GE,10.5.91,32,M ,Married,Switzerland,15.2.17,,N/A-StillEmployed,Active,IT/IS,Jennifer Zamora,Diversity Job Fair,Needs Improvement,2.39,3,6,22.2.23,4,13
Luisa Monterro,10025,72460,Production Technician II,GE,24.4.75,48,F,Single,Switzerland,13.5.18,,N/A-StillEmployed,Active,Production,Kissy Sullivan,Indeed,Exceeds,4.7,3,0,14.1.23,0,1
Patrick Moran,10223,72106,Production Technician II,GE,12.3.81,42,M ,Single,Switzerland,1.9.17,,N/A-StillEmployed,Active,Production,Kelley Spirea,Diversity Job Fair,Fully Meets,4.1,4,0,31.1.23,0,12
Tanya Morway,10151,52599,Network Engineer,GE,4.4.84,39,F,Married,Switzerland,16.2.20,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,CareerBuilder,Fully Meets,3.81,3,6,2.11.23,0,6
Dawn Motlagh,10254,63430,Production Technician I,GE,7.7.89,34,F,Divorced,Switzerland,4.1.18,,N/A-StillEmployed,Active,Production,Elijiah Gray,LinkedIn,Fully Meets,4.4,4,0,17.1.23,0,18
Maliki Moumanil,10120,74417,Production Technician II,GE,12.1.79,44,M ,Separated,Switzerland,13.5.18,,N/A-StillEmployed,Active,Production,Michael Albert,LinkedIn,Fully Meets,4.29,5,0,28.1.23,0,11
Michael Myers,10216,57575,Production Technician I,GE,18.4.85,38,M ,Single,Switzerland,7.8.18,,N/A-StillEmployed,Active,Production,Kissy Sullivan,LinkedIn,Fully Meets,4.1,4,0,22.1.23,0,13
Kurt Navathe,10079,87921,Senior BI Developer,GE,25.4.75,48,M ,Single,Switzerland,2.10.22,,N/A-StillEmployed,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,5,3,6,25.2.23,0,17
Colombui Ndzi,10215,50470,Production Technician I,GE,5.2.94,29,M ,Single,Switzerland,26.9.16,4.4.19,return to school,Voluntarily Terminated,Production,Webster Butler,Diversity Job Fair,Fully Meets,4.3,3,0,3.2.17,0,19
Horia Ndzi,10185,46664,Production Technician I,GE,28.3.88,35,M ,Married,Switzerland,4.1.18,25.5.21,more money,Voluntarily Terminated,Production,Amy Dunn,Employee Referral,Fully Meets,3.18,3,0,3.6.20,0,10
Richard Newman,10063,48495,Production Technician I,GE,4.8.82,41,M ,Married,Switzerland,5.12.19,,N/A-StillEmployed,Active,Production,Ketsia Liebig,LinkedIn,Fully Meets,5,5,0,18.2.23,0,11
Shari Ngodup,10037,52984,Production Technician I,GE,6.3.72,51,F,Separated,Switzerland,4.1.18,,N/A-StillEmployed,Active,Production,Brannon Miller,Diversity Job Fair,Exceeds,4,3,0,13.2.23,0,12
Dheepa Nguyen,10042,63695,Area Sales Manager,VD,31.3.94,29,F,Single,Switzerland,7.8.18,,N/A-StillEmployed,Active,Sales,Lynn Daneault,Indeed,Fully Meets,5,5,0,25.1.23,0,2
Lei-Ming Nguyen,10206,62061,Production Technician I,GE,7.7.89,34,F,Single,Switzerland,7.8.18,,N/A-StillEmployed,Active,Production,David Stanley,LinkedIn,Fully Meets,3.6,5,0,1.2.23,0,4
Kristie Nowlan,10104,66738,Production Technician II,GE,23.11.90,33,F,Single,Switzerland,11.10.19,,N/A-StillEmployed,Active,Production,Elijiah Gray,Indeed,Fully Meets,4.53,5,0,16.1.23,0,5
Lynn O'hare,10303,52674,Production Technician I,GE,30.9.85,38,F,Single,Switzerland,31.3.19,5.1.23,performance,Terminated for Cause,Production,Kissy Sullivan,LinkedIn,PIP,2.33,2,0,3.9.22,6,3
Brooke Oliver,10078,71966,Production Technician II,GE,2.11.57,66,F,Married,Switzerland,14.5.17,19.8.18,unhappy,Voluntarily Terminated,Production,Webster Butler,LinkedIn,Fully Meets,5,3,0,7.2.17,0,17
Jasmine Onque,10121,63051,Area Sales Manager,VD,5.11.95,28,F,Single,Switzerland,30.9.18,,N/A-StillEmployed,Active,Sales,Lynn Daneault,Indeed,Fully Meets,4.28,3,0,25.1.23,0,1
Adeel Osturnka,10021,47414,Production Technician I,GE,12.11.81,42,M ,Married,Switzerland,30.9.18,,N/A-StillEmployed,Active,Production,Kelley Spirea,LinkedIn,Exceeds,5,3,0,2.7.23,0,13
Clinton Owad,10281,53060,Production Technician I,GE,24.11.84,39,M ,Single,Switzerland,17.2.19,,N/A-StillEmployed,Active,Production,Michael Albert,LinkedIn,Needs Improvement,4.25,3,0,2.4.23,4,6
Travis Ozark,10041,68829,Area Sales Manager,VD,19.5.87,36,M ,Single,Switzerland,1.5.20,,N/A-StillEmployed,Active,Sales,John Smith,Website,Fully Meets,5,5,0,14.1.23,0,18
Nina Panjwani,10148,63515,Production Technician I,GE,5.1.84,39,F,Married,Switzerland,2.7.16,1.12.19,Another position,Voluntarily Terminated,Production,Elijiah Gray,Google Search,Fully Meets,3.89,4,0,3.4.17,0,7
Lucas Patronick,10005,108987,Software Engineer,BE,20.2.84,39,M ,Single,Switzerland,11.7.16,9.7.20,Another position,Voluntarily Terminated,Software Engineering,Alex Sweetwater,Diversity Job Fair,Exceeds,5,5,3,16.8.19,0,13
Randall Pearson,10259,93093,Data Analyst,GE,9.5.89,34,M ,Married,Switzerland,12.1.19,5.1.21,performance,Voluntarily Terminated,IT/IS,Simon Roup,Employee Referral,Fully Meets,4.7,4,5,16.1.20,0,19
Martin Smith,10286,53564,Production Technician I,GE,17.3.93,30,M ,Single,Switzerland,1.10.16,28.12.22,career change,Voluntarily Terminated,Production,Webster Butler,Google Search,Needs Improvement,3.54,5,0,4.6.21,4,15
Ermine Pelletier,10297,60270,Production Technician II,GE,18.7.94,29,F,Married,Switzerland,7.5.16,15.9.20,unhappy,Voluntarily Terminated,Production,Amy Dunn,CareerBuilder,Needs Improvement,2.4,5,0,2.6.19,5,2
Shakira Perry,10171,45998,Production Technician I,GE,20.7.91,32,F,Single,Switzerland,16.5.16,25.10.20,medical issues,Voluntarily Terminated,Production,Amy Dunn,LinkedIn,Fully Meets,3.45,4,0,13.5.18,0,5
Lauren Peters,10032,57954,Production Technician II,GE,17.8.91,32,F,Married,Switzerland,16.5.16,2.4.18,more money,Voluntarily Terminated,Production,Ketsia Liebig,Indeed,Exceeds,4.2,5,0,1.10.17,0,12
Ebonee Peterson,10130,74669,Production Manager,GE,5.9.82,41,F,Married,Switzerland,25.10.15,18.5.21,Another position,Voluntarily Terminated,Production,Janet King,Indeed,Fully Meets,4.16,5,0,3.5.19,0,6
Shana Petingill,10217,74226,Production Technician II,GE,3.10.84,39,F,Married,Switzerland,4.2.17,,N/A-StillEmployed,Active,Production,Brannon Miller,LinkedIn,Fully Meets,4.3,3,0,14.1.23,0,14
Thelma Petrowsky,10016,93554,Data Analyst,GE,16.9.89,34,F,Married,Switzerland,11.10.19,,N/A-StillEmployed,Active,IT/IS,Simon Roup,Employee Referral,Exceeds,4.6,5,7,1.4.23,0,16
Hong Pham,10050,64724,Production Technician I,GE,3.6.93,30,M ,Married,Switzerland,7.5.16,30.11.17,more money,Voluntarily Terminated,Production,Brannon Miller,Google Search,Fully Meets,5,3,0,20.2.16,0,13
Brad Pitt,10164,47001,Production Technician I,GE,23.11.86,37,M ,Single,Switzerland,11.5.12,,N/A-StillEmployed,Active,Production,David Stanley,Google Search,Fully Meets,3.66,3,0,25.2.23,0,15
Xana Potts,10124,61844,Area Sales Manager,VD,29.8.93,30,F,Married,Switzerland,1.9.17,,N/A-StillEmployed,Active,Sales,Lynn Daneault,Website,Fully Meets,4.2,5,0,2.1.23,0,9
Morissa Power,10187,46799,Production Technician I,GE,15.10.89,34,F,Divorced,Switzerland,16.5.16,6.4.23,Another position,Voluntarily Terminated,Production,Kissy Sullivan,Google Search,Fully Meets,3.17,4,0,4.2.22,0,14
Louis Punjabhi,10225,59472,Production Technician I,GE,19.6.66,57,M ,Single,Switzerland,1.6.19,,N/A-StillEmployed,Active,Production,Kelley Spirea,Employee Referral,Fully Meets,4.8,3,0,1.7.23,0,14
Janine Purinton,10262,46430,Production Technician I,GE,22.9.75,48,F,Divorced,Switzerland,24.9.17,18.6.18,unhappy,Voluntarily Terminated,Production,Kissy Sullivan,Indeed,Fully Meets,4.5,5,0,4.2.17,0,16
Sean Quinn,10131,83363,Software Engineer,BE,11.6.89,34,M ,Married,Switzerland,21.2.16,15.8.20,career change,Voluntarily Terminated,Software Engineering,Janet King,Diversity Job Fair,Fully Meets,4.15,4,0,19.4.18,0,4
Maggie Rachael,10239,95920,BI Developer,GE,5.12.85,38,F,Married,Switzerland,10.2.21,,N/A-StillEmployed,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,4.4,4,6,2.6.23,0,10
Quinn Rarrick,10152,61729,Production Technician I,GE,31.12.89,34,M ,Divorced,Switzerland,26.9.16,4.7.23,more money,Voluntarily Terminated,Production,Michael Albert,Indeed,Fully Meets,3.8,5,0,2.4.22,0,19
Kylo Ren,10140,61809,Area Sales Manager,VD,10.12.59,64,M ,Married,Switzerland,5.12.19,,N/A-StillEmployed,Active,Sales,John Smith,CareerBuilder,Fully Meets,3.98,3,0,28.1.23,0,4
Thomas Rhoads,10058,45115,Production Technician I,GE,22.7.55,68,M ,Divorced,Switzerland,16.5.16,15.1.21,retiring,Voluntarily Terminated,Production,Elijiah Gray,LinkedIn,Fully Meets,5,4,0,30.3.19,0,11
Haley Rivera,10011,46738,Production Technician I,GE,1.12.78,45,F,Married,Switzerland,28.11.16,,N/A-StillEmployed,Active,Production,Webster Butler,Google Search,Exceeds,4.36,5,0,2.11.23,0,16
May Roberson,10230,64971,Production Technician II,GE,9.5.86,37,F,Divorced,Switzerland,26.9.16,22.10.16,return to school,Voluntarily Terminated,Production,David Stanley,Google Search,Fully Meets,4.5,4,0,22.10.15,0,10
Peter Robertson,10224,55578,Production Technician II,GE,7.3.77,46,M ,Married,Switzerland,7.5.16,2.8.17,Another position,Voluntarily Terminated,Production,Kissy Sullivan,Indeed,Fully Meets,4.2,5,0,1.6.16,0,13
Alain Robinson,10047,50428,Production Technician I,GE,1.7.79,44,M ,Married,Switzerland,1.10.16,26.1.21,attendance,Voluntarily Terminated,Production,Amy Dunn,Indeed,Fully Meets,5,3,0,1.10.19,0,11
Cherly Robinson,10285,61422,Production Technician I,GE,1.7.90,33,F,Married,Switzerland,1.10.16,17.5.21,attendance,Terminated for Cause,Production,Ketsia Liebig,Indeed,Needs Improvement,3.6,3,0,4.5.20,4,16
Elias Robinson,10020,63353,Production Technician I,GE,28.1.90,33,M ,Widowed,Switzerland,7.8.18,,N/A-StillEmployed,Active,Production,Brannon Miller,Employee Referral,Exceeds,3.6,5,0,2.11.23,0,4
Lori Roby,10162,89883,Data Analyst,GE,10.11.86,37,F,Married,Switzerland,16.2.20,,N/A-StillEmployed,Active,IT/IS,Simon Roup,Employee Referral,Fully Meets,3.69,5,6,14.2.23,0,15
Bianca Roehrich,10149,120000,Principal Data Architect,GE,27.5.78,45,F,Single,Switzerland,1.5.20,11.10.23,Another position,Voluntarily Terminated,IT/IS,Simon Roup,LinkedIn,Fully Meets,3.88,3,7,13.2.22,0,12
Katie Roper,10086,150290,Data Architect,GE,21.11.77,46,F,Single,Switzerland,1.7.22,,N/A-StillEmployed,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,4.94,3,5,2.6.23,0,17
Ashley Rose,10054,60627,Production Technician I,GE,12.5.79,44,F,Separated,Switzerland,1.6.19,,N/A-StillEmployed,Active,Production,David Stanley,Website,Fully Meets,5,4,0,31.1.23,0,8
Bruno Rossetti,10065,53180,Production Technician I,GE,18.3.92,31,M ,Single,Switzerland,4.4.16,13.8.23,Another position,Voluntarily Terminated,Production,Kissy Sullivan,Google Search,Fully Meets,5,5,0,7.2.22,0,4
Simon Roup,10198,140920,IT Manager - DB,GE,4.5.78,45,M ,Single,Switzerland,20.1.18,,N/A-StillEmployed,Active,IT/IS,Jennifer Zamora,Indeed,Fully Meets,3.6,5,7,18.2.23,0,13
Ricardo Ruiz,10222,148999,IT Manager - DB,GE,1.4.69,54,M ,Divorced,Switzerland,1.9.17,11.4.20,hours,Voluntarily Terminated,IT/IS,Jennifer Zamora,Diversity Job Fair,Fully Meets,4.3,4,6,1.4.19,0,8
Adell Saada,10126,86214,Software Engineer,BE,24.7.91,32,F,Married,Switzerland,11.5.17,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,Indeed,Fully Meets,4.2,3,6,13.2.23,0,2
Melinda Saar-Beckles,10295,47750,Production Technician I,GE,6.6.73,50,F,Single,Switzerland,7.4.21,,N/A-StillEmployed,Active,Production,Kelley Spirea,Diversity Job Fair,Needs Improvement,2.6,4,0,18.2.23,5,4
Nore Sadki,10260,46428,Production Technician I,GE,21.12.79,44,M ,Single,Switzerland,1.5.14,30.7.23,relocation out of area,Voluntarily Terminated,Production,Michael Albert,Google Search,Fully Meets,4.6,5,0,2.5.22,0,7
Adil Sahoo,10233,57975,Production Technician II,GE,26.4.91,32,M ,Married,Switzerland,30.8.15,,N/A-StillEmployed,Active,Production,Kelley Spirea,CareerBuilder,Fully Meets,4.1,3,0,1.10.23,0,13
